path/reftime,path/ref,path/kind,path/collection,path/key,value/stats/rmsAll,value/stats/eda,value/stats/rmsLimb,value/timestamp,value/RR_LA/y,value/RR_LA/tempSkin,value/RR_LA/id,value/RR_LA/timestamp,value/RR_LA/z,value/RR_LA/tempAmb,value/RR_LA/eda,value/RR_LA/x,value/RR_LA/rms,value/accel/x,value/accel/z,value/accel/y,value/accel/timestamp,value/accel/rms,value/battery,value/device_id,value/audio/peak,value/audio/filtered,value/audio/average,value/audio/timestamp,value/RR_RL/y,value/RR_RL/tempSkin,value/RR_RL/id,value/RR_RL/timestamp,value/RR_RL/z,value/RR_RL/tempAmb,value/RR_RL/eda,value/RR_RL/x,value/RR_RL/rms,value/RR_LL/y,value/RR_LL/tempSkin,value/RR_LL/id,value/RR_LL/timestamp,value/RR_LL/z,value/RR_LL/tempAmb,value/RR_LL/eda,value/RR_LL/x,value/RR_LL/rms,value/RR_RA/y,value/RR_RA/tempSkin,value/RR_RA/id,value/RR_RA/timestamp,value/RR_RA/z,value/RR_RA/tempAmb,value/RR_RA/eda,value/RR_RA/x,value/RR_RA/rms,reftime,value/location/velocity,value/location/distance,value/location/lon,value/location/timestamp,value/location/accuracy,value/location/lat,value/heartrate/hr,value/heartrate/id,value/heartrate/timestamp,value/heartrate/hrv1,value/heartrate/hrv2
1443223692148,846647611d067eb7,item,IP6_BEACON_20,1443223691084,0.577689207940318,0.7408595929556588,0.5774216221633277,1443223691.084497,0.015625,12.58407,LWBAND-39EC,1443223691.004013,0.96875,22,0.7448856153649045,-0.015625,0.5594535559365049,-0.0014190673828125,-1.0023193359375,-0.0155487060546875,1443223691.066941,0.5787595510482788,100,IP6_BEACON_20,151.380126953125,15.5506591796875,109.6181793212891,1443223691.055802,-0.015625,13.66837,LWBAND-42E2,1443223691.048387,1.03125,23,0.7416504986857954,0,0.5954608028311631,0,12.66156,LWBAND-3D1E,1443223690.970703,1.015625,22,0.7408461055201925,0,0.5863713671457137,0,11.188,LWBAND-408D,1443223691.040833,0.984375,23,0.7360561522517429,-0.015625,0.5684007627399292,1443223692148,0,0,-71.07504489838246,1443223691.041706,30,42.36778824128431,,,,,
1443223692151,3511714e8b30cd33,item,IP6_BEACON_20,1443223691085,0.5954608028311631,0.7396427821219463,0.5954608028311631,1443223691.085327,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,,,,,,,,,,0,12.66156,LWBAND-3D1E,1443223691.076777,1.03125,22,0.7396427821219463,-0.015625,0.5954608028311631,,,,,,,,,,1443223692151,,,,,,,,,,,
1443223692154,5422a68bbf3950bb,item,IP6_BEACON_20,1443223691163,0.5748920806447578,0.7396740047213708,0.5729465437233319,1443223691.163024,0.015625,12.58407,LWBAND-39EC,1443223691.09359,0.984375,22,0.7444796831494468,-0.015625,0.5684723452303257,-0.000579833984375,-1.002365112304688,-0.015289306640625,1443223691.164899,0.5787831544876099,100,IP6_BEACON_20,149.1510162353516,12.37454223632812,110.9798812866211,1443223691.155847,,,,,,,,,,,,,,,,,,,-0.015625,11.188,LWBAND-408D,1443223691.130116,1,23,0.7348683262932947,0,0.577420742216338,1443223692154,,,,,,,,,,,
1443223692156,769d4a43f2fdf7fc,item,IP6_BEACON_20,1443223691265,0.5885376816396298,0.7460220942957114,0.5909852392231899,1443223691.264788,0.015625,12.50656,LWBAND-39EC,1443223691.213708,1,22,0.7477395832398659,-0.015625,0.5774912066430102,-0.0005950927734375,-1.002288818359375,-0.016204833984375,1443223691.262839,0.5787474513053894,100,IP6_BEACON_20,146.3646240234375,8.834548950195312,107.6399917602539,1443223691.255152,-0.015625,12.81653,LWBAND-42E2,1443223691.170143,1.046875,23,0.7497915579468908,-0.015625,0.6045481913172844,0,11.73117,LWBAND-3D1E,1443223691.177385,1.03125,22,0.7465137806443907,-0.015625,0.5954608028311631,-0.015625,10.64448,LWBAND-408D,1443223691.250094,1.015625,23,0.7400434553516982,0,0.586440756101302,1443223692156,,,,,,,,,,,
1443223692158,f2df0385ea835810,item,IP6_BEACON_20,1443223691267,0.586440756101302,0.7424566405321928,0.586440756101302,1443223691.266532,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,-0.015625,13.59096,LWBAND-42E2,1443223691.256207,1.015625,23,0.7424566405321928,0,0.586440756101302,,,,,,,,,,,,,,,,,,,1443223692158,,,,,,,,,,,
1443223692161,e6adee2f02ee838f,item,IP6_BEACON_20,1443223691419,0.5812370789320422,0.740560359702453,0.582018347118193,1443223691.418524,0.015625,12.58407,LWBAND-39EC,1443223691.30398,0.984375,22,0.7444796831494468,-0.015625,0.5684723452303257,-0.00189208984375,-1.001205444335938,-0.014984130859375,1443223691.360979,0.578112006187439,100,IP6_BEACON_20,142.4636688232422,4.395584106445312,106.7805633544922,1443223691.417837,-0.015625,13.66837,LWBAND-42E2,1443223691.413444,1,23,0.7420533506676996,0,0.577420742216338,-0.015625,12.66156,LWBAND-3D1E,1443223691.272106,1.046875,22,0.7404445629155745,-0.015625,0.6045481913172844,-0.03125,11.188,LWBAND-408D,1443223691.412983,1,23,0.735263842077091,0,0.5776321097088238,1443223692161,,,,,,,77,25,1443223691.417052,798,
1443223692164,8ccae71c5acd4dc9,item,IP6_BEACON_20,1443223691420,0.5864407725237506,0.7424645353583014,0.5864407725237506,1443223691.419532,0.015625,12.66156,LWBAND-39EC,1443223691.417276,1,22,0.7448856153649045,0,0.577420742216338,,,,,,100,IP6_BEACON_20,,,,,,,,,,,,,,0.015625,12.58407,LWBAND-3D1E,1443223691.413743,1.03125,22,0.7400434553516982,0,0.5954608028311631,,,,,,,,,,1443223692164,,,,,,,,,,,
1443223692166,67e567cb0927b4cb,item,IP6_BEACON_20,1443223691464,0.577420742216338,0.7344732357952876,0.577420742216338,1443223691.463825,,,,,,,,,,,,,,,100,IP6_BEACON_20,141.9063873291016,3.57061767578125,109.3985900878906,1443223691.454017,,,,,,,,,,,,,,,,,,,-0.015625,11.188,LWBAND-408D,1443223691.443187,1,23,0.7344732357952876,0,0.577420742216338,1443223692166,,,,,,,,,,,
1443223692171,5ab3f95e1d0af5e6,item,IP6_BEACON_20,1443223691564,0.585000822633869,0.7456206621693955,0.5864407540489814,1443223691.563547,0.015625,12.42905,LWBAND-39EC,1443223691.513626,1.015625,22,0.7473305353278091,-0.015625,0.5865101368476081,-0.00213623046875,-1.003173828125,-0.0140838623046875,1443223691.564685,0.5792410969734192,100,IP6_BEACON_20,139.1199951171875,0.5667724609375,109.7030181884766,1443223691.554014,0,12.81653,LWBAND-42E2,1443223691.46869,1.015625,23,0.7502033050956809,0,0.5863713671457137,-0.015625,11.6536,LWBAND-3D1E,1443223691.477309,1.015625,22,0.7461060724081021,0,0.586440756101302,-0.015625,10.64448,LWBAND-408D,1443223691.550199,1.015625,23,0.7388427358459897,0,0.586440756101302,1443223692171,,,,,,,,,,,
1443223692173,30bb0f79dd9b467a,item,IP6_BEACON_20,1443223691565,0.586440756101302,0.7432645367678101,0.586440756101302,1443223691.564857,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,0,13.59096,LWBAND-42E2,1443223691.556247,1.015625,23,0.7432645367678101,-0.015625,0.586440756101302,,,,,,,,,,,,,,,,,,,1443223692173,,,,,,,,,,,
1443223692175,1511681067ba9868,item,IP6_BEACON_20,1443223691664,0.5866882333889688,0.7404604939017829,0.5886776459384815,1443223691.663518,0,12.58407,LWBAND-39EC,1443223691.604744,1.015625,22,0.7440741931259449,0,0.5863713671457137,-0.0006256103515625,-1.002243041992188,-0.0171966552734375,1443223691.682207,0.578730583190918,100,IP6_BEACON_20,136.890869140625,-1.696868896484375,107.9754638671875,1443223691.654033,-0.015625,13.66837,LWBAND-42E2,1443223691.646304,1.046875,23,0.7420533506676996,-0.015625,0.6045481913172844,0,12.58407,LWBAND-3D1E,1443223691.569432,1.015625,22,0.7408461055201925,-0.015625,0.586440756101302,0,11.188,LWBAND-408D,1443223691.639995,1,23,0.7348683262932947,0,0.5773502691896257,1443223692175,,,,,,,,,,,
1443223692178,2d7057647dd1f1e5,item,IP6_BEACON_20,1443223691665,0.586440756101302,0.7400434553516982,0.586440756101302,1443223691.664887,,,,,,,,,,,,,,,100,IP6_BEACON_20,,,,,,,,,,,,,,0,12.66156,LWBAND-3D1E,1443223691.657379,1.015625,22,0.7400434553516982,-0.015625,0.586440756101302,,,,,,,,,,1443223692178,,,,,,,,,,,
